date,MSFT
2020-01-01,9
2020-01-02,34
2020-01-03,30
2020-01-04,9
2020-01-05,5
2020-01-06,30
2020-01-07,30
2020-01-08,33
2020-01-09,34
2020-01-10,35
2020-01-11,8
2020-01-12,6
2020-01-13,30
2020-01-14,33
2020-01-15,32
2020-01-16,38
2020-01-17,41
2020-01-18,13
2020-01-19,8
2020-01-20,11
2020-01-21,29
2020-01-22,32
2020-01-23,32
2020-01-24,31
2020-01-25,11
2020-01-26,7
2020-01-27,34
2020-01-28,37
2020-01-29,65
2020-01-30,79
2020-01-31,49
2020-02-01,17
2020-02-02,7
2020-02-03,40
2020-02-04,50
2020-02-05,64
2020-02-06,58
2020-02-07,55
2020-02-08,16
2020-02-09,10
2020-02-10,53
2020-02-11,77
2020-02-12,74
2020-02-13,69
2020-02-14,64
2020-02-15,17
2020-02-16,9
2020-02-17,19
2020-02-18,45
2020-02-19,50
2020-02-20,48
2020-02-21,50
2020-02-22,16
2020-02-23,9
2020-02-24,60
2020-02-25,71
2020-02-26,68
2020-02-27,85
2020-02-28,96
2020-02-29,23
2020-03-01,15
2020-03-02,79
2020-03-03,72
2020-03-04,58
2020-03-05,54
2020-03-06,60
2020-03-07,14
2020-03-08,12
2020-03-09,88
2020-03-10,74
2020-03-11,62
2020-03-12,96
2020-03-13,100
2020-03-14,31
2020-03-15,19
2020-03-16,91
2020-03-17,80
2020-03-18,80
2020-03-19,73
2020-03-20,73
2020-03-21,22
2020-03-22,14
2020-03-23,69
2020-03-24,71
2020-03-25,75
2020-03-26,60
2020-03-27,56
2020-03-28,18
2020-03-29,13
2020-03-30,65
2020-03-31,65
2020-04-01,56
