date,GOOG
2020-04-01,66
2020-04-02,67
2020-04-03,60
2020-04-04,45
2020-04-05,45
2020-04-06,62
2020-04-07,65
2020-04-08,60
2020-04-09,58
2020-04-10,52
2020-04-11,45
2020-04-12,44
2020-04-13,56
2020-04-14,64
2020-04-15,63
2020-04-16,65
2020-04-17,58
2020-04-18,44
2020-04-19,42
2020-04-20,65
2020-04-21,66
2020-04-22,58
2020-04-23,63
2020-04-24,61
2020-04-25,44
2020-04-26,42
2020-04-27,65
2020-04-28,99
2020-04-29,100
2020-04-30,71
2020-05-01,58
2020-05-02,44
2020-05-03,43
2020-05-04,63
2020-05-05,59
2020-05-06,62
2020-05-07,63
2020-05-08,53
2020-05-09,40
2020-05-10,40
2020-05-11,65
2020-05-12,56
2020-05-13,55
2020-05-14,59
2020-05-15,54
2020-05-16,41
2020-05-17,38
2020-05-18,65
2020-05-19,57
2020-05-20,55
2020-05-21,55
2020-05-22,52
2020-05-23,45
2020-05-24,42
2020-05-25,46
2020-05-26,58
2020-05-27,56
2020-05-28,58
2020-05-29,58
2020-05-30,38
2020-05-31,44
2020-06-01,59
2020-06-02,57
2020-06-03,62
2020-06-04,55
2020-06-05,55
2020-06-06,38
2020-06-07,38
2020-06-08,56
2020-06-09,62
2020-06-10,57
2020-06-11,60
2020-06-12,59
2020-06-13,42
2020-06-14,38
2020-06-15,60
2020-06-16,57
2020-06-17,55
2020-06-18,55
2020-06-19,56
2020-06-20,38
2020-06-21,39
2020-06-22,61
2020-06-23,57
2020-06-24,54
2020-06-25,52
2020-06-26,61
2020-06-27,41
2020-06-28,38
2020-06-29,66
2020-06-30,63
2020-07-01,54
