date,META
2020-01-01,62
2020-01-02,75
2020-01-03,75
2020-01-04,61
2020-01-05,60
2020-01-06,64
2020-01-07,69
2020-01-08,73
2020-01-09,88
2020-01-10,74
2020-01-11,64
2020-01-12,64
2020-01-13,79
2020-01-14,77
2020-01-15,79
2020-01-16,90
2020-01-17,75
2020-01-18,65
2020-01-19,61
2020-01-20,73
2020-01-21,76
2020-01-22,75
2020-01-23,96
2020-01-24,77
2020-01-25,64
2020-01-26,60
2020-01-27,74
2020-01-28,80
2020-01-29,82
2020-01-30,94
2020-01-31,78
2020-02-01,70
2020-02-02,70
2020-02-03,71
2020-02-04,75
2020-02-05,85
2020-02-06,99
2020-02-07,86
2020-02-08,69
2020-02-09,73
2020-02-10,82
2020-02-11,82
2020-02-12,83
2020-02-13,96
2020-02-14,75
2020-02-15,76
2020-02-16,72
2020-02-17,83
2020-02-18,83
2020-02-19,87
2020-02-20,95
2020-02-21,85
2020-02-22,72
2020-02-23,70
2020-02-24,75
2020-02-25,78
2020-02-26,82
2020-02-27,100
2020-02-28,88
2020-02-29,72
2020-03-01,69
2020-03-02,83
2020-03-03,84
2020-03-04,93
2020-03-05,99
2020-03-06,79
2020-03-07,71
2020-03-08,64
2020-03-09,72
2020-03-10,77
2020-03-11,77
2020-03-12,88
2020-03-13,76
2020-03-14,63
2020-03-15,66
2020-03-16,64
2020-03-17,71
2020-03-18,73
2020-03-19,91
2020-03-20,73
2020-03-21,70
2020-03-22,65
2020-03-23,71
2020-03-24,77
2020-03-25,76
2020-03-26,80
2020-03-27,77
2020-03-28,72
2020-03-29,70
2020-03-30,75
2020-03-31,84
2020-04-01,78
