date,MSFT
2020-07-01,31
2020-07-02,32
2020-07-03,15
2020-07-04,6
2020-07-05,7
2020-07-06,33
2020-07-07,37
2020-07-08,36
2020-07-09,36
2020-07-10,36
2020-07-11,11
2020-07-12,8
2020-07-13,36
2020-07-14,39
2020-07-15,39
2020-07-16,38
2020-07-17,39
2020-07-18,12
2020-07-19,7
2020-07-20,44
2020-07-21,54
2020-07-22,100
2020-07-23,87
2020-07-24,57
2020-07-25,11
2020-07-26,8
2020-07-27,37
2020-07-28,35
2020-07-29,34
2020-07-30,39
2020-07-31,59
2020-08-01,22
2020-08-02,11
2020-08-03,85
2020-08-04,66
2020-08-05,45
2020-08-06,39
2020-08-07,42
2020-08-08,13
2020-08-09,8
2020-08-10,39
2020-08-11,40
2020-08-12,40
2020-08-13,36
2020-08-14,30
2020-08-15,8
2020-08-16,7
2020-08-17,31
2020-08-18,33
2020-08-19,32
2020-08-20,35
2020-08-21,36
2020-08-22,11
2020-08-23,6
2020-08-24,34
2020-08-25,33
2020-08-26,40
2020-08-27,59
2020-08-28,52
2020-08-29,15
2020-08-30,11
2020-08-31,41
2020-09-01,41
2020-09-02,43
2020-09-03,50
2020-09-04,57
2020-09-05,13
2020-09-06,7
2020-09-07,10
2020-09-08,49
2020-09-09,51
2020-09-10,38
2020-09-11,38
2020-09-12,10
2020-09-13,7
2020-09-14,49
2020-09-15,37
2020-09-16,36
2020-09-17,34
2020-09-18,35
2020-09-19,9
2020-09-20,6
2020-09-21,41
2020-09-22,38
2020-09-23,33
2020-09-24,32
2020-09-25,29
2020-09-26,9
2020-09-27,5
2020-09-28,27
2020-09-29,27
2020-09-30,27
2020-10-01,27
